,assets,book_value,eps_diluted,n_shares_diluted,liabilities,bvps_diluted
2009-07-22,53779000000,-1294000000,1.16,707400000.0,55073000000,-1.8292338139666384
2009-10-21,53779000000,-1294000000,-2.23,701300000.0,55073000000,-1.8451447312134608
2010-02-08,53779000000,-1294000000,1.84,,55073000000,
2010-04-21,62053000000,2128000000,0.7,707400000.0,59925000000,3.0081990387333897
2010-07-28,62053000000,2128000000,1.06,707400000.0,59925000000,3.0081990387333897
2010-10-20,62053000000,2128000000,-2.23,701300000.0,59925000000,3.034364751176387
2011-02-09,62053000000,2128000000,-2.23,713400000.0,59925000000,2.9828987945051866
2011-04-27,68565000000,2766000000,0.7,740100000.0,65799000000,3.737332792865829
2011-07-27,68565000000,2766000000,1.06,741900000.0,65799000000,3.7282652648604935
2011-10-26,68565000000,2766000000,1.12,743000000.0,65799000000,3.7227456258411844
2012-02-09,68565000000,2766000000,0.7,713400000.0,65799000000,3.8772077375946172
2012-04-25,79986000000,3515000000,0.78,749000000.0,76471000000,4.692923898531375
2012-07-25,79986000000,3515000000,1.25,750800000.0,76471000000,4.6816728822589235
2012-10-24,79986000000,3515000000,1.35,751800000.0,76471000000,4.675445597233307
2013-02-11,79986000000,3515000000,0.78,741200000.0,76471000000,4.742309767943874
2013-04-24,88896000000,5867000000,1.22,757300000.0,83029000000,7.747260002640961
2013-07-24,88896000000,5867000000,1.27,758300000.0,83029000000,7.737043386522484
2013-10-23,88896000000,5867000000,1.35,760000000.0,83029000000,7.719736842105263
2014-02-14,88896000000,5867000000,1.22,750600000.0,83029000000,7.816413535837996
2014-04-23,91575000000,14520000000,1.28,752500000.0,77055000000,19.295681063122924
2014-07-23,92663000000,14061000000,1.41,738800000.0,78602000000,19.03221440173254
2014-10-22,92653000000,14511000000,1.51,730600000.0,78142000000,19.86175745962223
2015-02-12,92663000000,8665000000,1.28,736700000.0,83998000000,11.761911225736393
2015-04-22,97775000000,7906000000,1.28,713100000.0,89869000000,11.086804094797364
2015-07-22,98102000000,6264000000,1.59,697800000.0,91838000000,8.976784178847808
2015-10-21,98998000000,6740000000,1.86,687800000.0,92258000000,9.799360279150916
2016-02-10,92921000000,6335000000,1.28,695000000.0,86586000000,9.115107913669064
2016-04-27,91547000000,4043000000,1.83,664800000.0,87504000000,6.0815282791817085
2016-07-27,89609000000,585000000,-0.37,635300000.0,89024000000,0.9208248071777113
2016-10-26,88950000000,2089000000,2.47,631800000.0,86861000000,3.306426084203862
2017-02-08,89997000000,817000000,-0.37,642800000.0,89180000000,1.2710018668326073
2017-04-26,89673000000,95000000,1.83,620400000.0,89578000000,0.15312701482914248
2017-07-26,89997000000,-2037000000,-0.37,608900000.0,92034000000,-3.3453769091804895
2017-10-25,89997000000,817000000,3.06,605600000.0,89180000000,1.3490752972258917
2018-02-12,89997000000,355000000,-0.37,610000000.0,89642000000,0.5819672131147541
2018-04-25,112362000000,1222000000,2.54,596500000.0,111140000000,2.04861693210394
2018-07-25,112362000000,-1441000000,2.87,588000000.0,113803000000,-2.4506802721088436
2018-10-24,112362000000,-1289000000,2.99,580200000.0,113651000000,-2.2216477076870045
2019-02-08,112362000000,339000000,2.54,585500000.0,112023000000,0.5789923142613151
2019-04-24,117359000000,125000000,3.75,571800000.0,117234000000,0.2186079048618398
2019-07-24,117359000000,-5322000000,-5.21,564700000.0,122681000000,-9.424473171595537
2019-10-23,117359000000,-4116000000,0.66,568600000.0,121475000000,-7.238832219486458
2020-01-31,117359000000,-8617000000,-5.21,565400000.0,125976000000,-15.240537672444287
2020-04-29,133625000000,-9665000000,-1.11,565400000.0,143290000000,-17.094092677750265
2020-07-29,133625000000,-11667000000,-5.31,564700000.0,145292000000,-20.66052771383035
2020-10-28,133625000000,-11821000000,-6.1,565800000.0,145446000000,-20.892541534110993
2021-02-01,133625000000,-18316000000,-20.88,565400000.0,151941000000,-32.39476476830563
2021-04-28,150035000000,-18316000000,-1.11,565400000.0,168351000000,-32.39476476830563
2021-07-28,148935000000,-18316000000,-5.31,565600000.0,167251000000,-32.38330975954738
2021-10-27,146846000000,-18316000000,-6.1,565800000.0,165162000000,-32.37186284906328
2022-01-31,138552000000,-18316000000,-20.88,565400000.0,156868000000,-32.39476476830563
2022-04-27,135801000000,-15398000000,-2.06,585000000.0,151199000000,-26.32136752136752
2022-07-27,135479000000,-14999000000,-1.73,588200000.0,150478000000,-25.499829989799387
2022-10-26,137558000000,-17699000000,-7.24,586900000.0,155257000000,-30.156755835747145
2023-01-27,137100000000,-15883000000,-20.88,568600000.0,152983000000,-27.933520928596554
2023-04-26,136347000000,-15883000000,-2.06,591400000.0,152230000000,-26.85661143050389
2023-07-26,134774000000,-15883000000,-1.73,592500000.0,150657000000,-26.80675105485232
